10,61727a41,77c53f46,dda72102,c5696287,be01c7ee,12908164
11,b3bd6d5b,f7720ffe,0f053620,9d798726,4408a9b5,a67d5dc0
12,a4af65b6,2d00a2eb,9a9de1e3,0f053620,88c00dc1,a16dfff1
13,556c7733,a16dfff1,4408a9b5,fe46868b,f7720ffe,c3d6b253
14,3a7f9e42,6d6eb36e,556c7733,2ec05204,b3bd6d5b,39cc8ca4
15,a16dfff1,61727a41,477a7084,09a72ca3,c5696287,77c53f46
16,941d6aa3,1ee7a8a9,6db17dd0,a16dfff1,73f6ae12,2d00a2eb
17,2d00a2eb,12908164,2ec05204,9a9de1e3,f7720ffe,edd5b71e
18,4f9bdffa,1ee7a8a9,8fb8d77d,fb94afb7,b670ad18,9d798726
19,39cc8ca4,88c00dc1,fb94afb7,556c7733,4408a9b5,57c93c96
20,6db17dd0,61727a41,dda72102,209f12c1,8610ad03,637c9689
21,a21c5c32,1abb8078,13e229e2,09a72ca3,dda72102,637c9689
22,214c6a7c,90fc77a7,59fc71c9,e8d70db9,135d7498,732cd237
23,b670ad18,8fb8d77d,81f22e46,ff30d4d9,aa27f9f3,477a7084
24,c5696287,e446aa6b,7c625c3c,9a9de1e3,b3bd6d5b,9d798726
25,209f12c1,aa27f9f3,85eb3a09,6d6eb36e,99471ce6,886cd79e
26,fe46868b,28ba12ee,a67d5dc0,09a72ca3,48551ea7,c440b84a
27,a66a5e3d,477a7084,2ec05204,c5696287,886cd79e,99471ce6
28,09a72ca3,637c9689,c3d6b253,b3bd6d5b,c440b84a,3a7f9e42
29,edd5b71e,fb94afb7,88c00dc1,f7720ffe,39cc8ca4,13e229e2
30,214c6a7c,258036c7,2fe9bf51,135d7498,aa27f9f3,59fc71c9
31,99471ce6,3a7f9e42,4f9bdffa,2d00a2eb,57c93c96,0f053620
32,2ca6e23c,e446aa6b,1abb8078,a67d5dc0,9a9de1e3,c440b84a
33,9a9de1e3,afbf6781,77c53f46,0f053620,71fcd404,1abb8078
34,a21c5c32,886cd79e,81f22e46,a66a5e3d,efaae669,e446aa6b
35,aa27f9f3,99471ce6,b3bd6d5b,a66a5e3d,e42e1b2a,8610ad03
36,77c53f46,2d00a2eb,81f22e46,39cc8ca4,b670ad18,71fcd404
37,3a7f9e42,dda72102,48551ea7,477a7084,ff30d4d9,edd5b71e
38,48551ea7,a4af65b6,a21c5c32,637c9689,7c625c3c,85eb3a09
39,ff30d4d9,39cc8ca4,8fb8d77d,afbf6781,2ca6e23c,a66a5e3d
40,71fcd404,e42e1b2a,afbf6781,90fc77a7,a67d5dc0,8fb8d77d
41,90fc77a7,2fe9bf51,258036c7,135d7498,59fc71c9,732cd237
42,81f22e46,e42e1b2a,fb94afb7,12908164,fe46868b,a4af65b6
